"자전거번호","대여일시","대여 대여소번호","대여 대여소명","대여거치대","반납일시","반납대여소번호","반납대여소명","반납거치대","이용시간(분)","이용거리(M)","생년","성별","이용자종류","대여대여소ID","반납대여소ID","자전거구분"
"SPB-42241","2025-12-01 00:07:27","01227","거여역 8번출구 뒤","0","2025-12-01 00:10:40","02616","거여동 사거리","0","3","492.45","1995",\N,"내국인","ST-895","ST-1716","일반자전거"
"SPB-46058","2025-12-01 00:01:06","01384","성신여대입구역 5번출구","0","2025-12-01 00:10:44","01361","홍익중고 입구","0","9","1751.30","1988",\N,"내국인","ST-2225","ST-1424","일반자전거"
"SPB-63703","2025-12-01 00:07:02","06054","청구e편한세상아파트 113동 앞","0","2025-12-01 00:10:47","00383","신당역 12번 출구 뒤","0","3","617.37","1978",\N,"내국인","ST-3210","ST-198","일반자전거"
"SPB-61337","2025-12-01 00:05:18","00334","종로3가역 2번출구 뒤","0","2025-12-01 00:10:48","00345","서울보증보험본사 앞","0","5","495.86","1993","M","내국인","ST-150","ST-161","일반자전거"
"SPB-66868","2025-12-01 00:06:36","04540","목동역 3번 출구","0","2025-12-01 00:10:55","01140","목동사거리 버스정류장","0","4","556.10","1975","M","내국인","ST-3104","ST-534","일반자전거"
"SPB-65382","2025-12-01 00:04:19","04233","코오롱아파트사거리","0","2025-12-01 00:10:58","00102","망원역 1번출구 앞","0","6","1263.04","1974","M","내국인","ST-2979","ST-4","일반자전거"
"SPB-43146","2025-12-01 00:02:32","00560","비전교회 앞","0","2025-12-01 00:11:07","00508","성수아카데미타워 앞","0","8","1326.63","1986","F","내국인","ST-361","ST-105","일반자전거"
"SPB-46853","2025-12-01 00:05:46","00712","강월초교입구 사거리","0","2025-12-01 00:11:11","04518","청기와빌딩","0","5","814.64","2008","M","내국인","ST-319","ST-2768","일반자전거"
"SPB-66991","2025-12-01 00:01:36","00568","청계8가 사거리 B","0","2025-12-01 00:11:12","04765","동대문디자인플라자","0","9","1483.69","1979","M","내국인","ST-369","ST-2431","일반자전거"
"SPB-74804","2025-12-01 00:05:35","01308","안암로터리 버스정류장 앞","0","2025-12-01 00:11:12","01363","보문4교 인근","0","5","1080.30",\N,\N,\N,"ST-827","ST-1455","일반자전거"
"SPB-46120","2025-12-01 00:06:08","00712","강월초교입구 사거리","0","2025-12-01 00:11:14","04518","청기와빌딩","0","5","664.22","2008","M","내국인","ST-319","ST-2768","일반자전거"
"SPB-55692","2025-12-01 00:06:03","00243","이앤씨드림타워 앞","0","2025-12-01 00:11:14","05866","포레나 당산","0","5","676.79",\N,\N,\N,"ST-292","ST-3212","일반자전거"
"SPB-54676","2025-12-01 00:02:11","04965","고덕비즈밸리 쿠쿠강동빌딩","0","2025-12-01 00:11:21","01079","강일동입구교차로","0","9","1308.51","1988","F","내국인","ST-3373","ST-1840","일반자전거"
"SPB-61268","2025-12-01 00:05:47","01008","암사역 3번출구(국민은행앞)","0","2025-12-01 00:11:28","03657","서울천호동우체국","0","5","979.27","2009","F","내국인","ST-492","ST-2732","일반자전거"
"SPB-51750","2025-12-01 00:00:35","04965","고덕비즈밸리 쿠쿠강동빌딩","0","2025-12-01 00:11:28","01079","강일동입구교차로","0","10","1084.16","1996","F","내국인","ST-3373","ST-1840","일반자전거"
"SPB-67479","2025-12-01 00:07:09","04629","한강초교보도육교 앞","0","2025-12-01 00:11:32","00822","이촌1동 마을공원","0","4","680.00","1975","M","내국인","ST-2456","ST-440","일반자전거"
"SPB-47901","2025-12-01 00:09:08","05883","영문초사거리","0","2025-12-01 00:11:38","04571","문래동롯데캐슬아파트","0","2","473.10","2002","M","내국인","ST-3330","ST-2820","일반자전거"
"SPB-37985","2025-12-01 00:01:25","04854","가락시장역 2번 출구","0","2025-12-01 00:11:40","01240","문정 법조단지4","0","10","2003.33","1991","M","내국인","ST-2606","ST-900","일반자전거"
"SPB-38109","2025-12-01 00:04:29","04273","홍연2교 사거리","0","2025-12-01 00:11:42","00166","가재울 초등학교","0","7","1076.15","2007","M","내국인","ST-3114","ST-223","일반자전거"
"SPB-56458","2025-12-01 00:03:19","01199","우장산역 3번출구","0","2025-12-01 00:11:43","02731","명덕고교","0","8","1150.00","1988","M","내국인","ST-1694","ST-2048","일반자전거"
